,Name,Category,Location
0,Texas State Capitol,Capitol Building,Austin
1,Texas Chili Parlor,American Restaurant,Austin
2,Texas Capitol Grounds,Field,Austin
3,Texas Capitol Extension,Capitol Building,Austin
4,DoubleTree by Hilton,Hotel,Austin
5,Capitol Visitors Center,Capitol Building,Austin
6,Bullock Texas State History Museum,History Museum,Austin
7,Sushi Junai,Sushi Restaurant,Austin
8,The Clay Pit,Indian Restaurant,Austin
9,Bullock Museum IMAX Theatre,Movie Theater,Austin
10,Thundercloud Subs,Sandwich Place,Austin
11,Hampton Inn & Suites,Hotel,Austin
12,Scottish Rite Theatre,Theater,Austin
13,Twin Liquors,Liquor Store,Austin
14,Scholz Garten,Beer Garden,Austin
15,Dive Bar & Lounge,Cocktail Bar,Austin
16,Arturo's Bakery & Cafe,Breakfast Spot,Austin
17,Saengerrunde Bowling Alley,Bowling Alley,Austin
18,Starbucks,Coffee Shop,Austin
19,Cloak Room,Bar,Austin
20,Waterloo Park,Park,Austin
21,Lavaca Teppan,Japanese Restaurant,Austin
22,The Texas Spirit Theater at the Bullock Texas State History Museum,Movie Theater,Austin
23,The UPS Store,Shipping Store,Austin
24,Women And Their Work,Art Gallery,Austin
25,Capitol Extension Auditorium,Historic Site,Austin
26,Be More Pacific,Food Truck,Austin
27,El Mercado,Mexican Restaurant,Austin
28,Spanish War Veterans Monument,Outdoor Sculpture,Austin
29,The Austin Flea,Flea Market,Austin
30,F1 Downtown Shuttle Pickup,Bus Station,Austin
31,Formula 1 Downtown Shuttle,Bus Station,Austin
32,Penick-Allison Tennis Center,Tennis Court,Austin
