,Name,Category,Location
0,Biscuit B*tch,Breakfast Spot,Seattle
1,Columbia Tower Club,Social Club,Seattle
2,Juicy Cafe,Café,Seattle
3,Smith Tower Observation Bar,Cocktail Bar,Seattle
4,Tat's Delicatessen,Sandwich Place,Seattle
5,Hole in the Wall Barbecue,BBQ Joint,Seattle
6,Red Bowls,Noodle House,Seattle
7,Smith Tower,Building,Seattle
8,Top Pot Doughnuts,Donut Shop,Seattle
9,Columbia Center Observation Deck (Sky View Observatory),Scenic Lookout,Seattle
10,Metropolitan Grill,Steakhouse,Seattle
11,The Bar Shoppe,Cocktail Bar,Seattle
12,Manu's Bodega,Caribbean Restaurant,Seattle
13,Courtyard by Marriott Seattle Downtown/Pioneer Square,Hotel,Seattle
14,Monorail Espresso,Coffee Shop,Seattle
15,Elm Coffee Roasters,Coffee Shop,Seattle
16,Cherry Street Coffee House,Coffee Shop,Seattle
17,Flatstick Pub,Mini Golf,Seattle
18,Amazon Go,Convenience Store,Seattle
19,Delicatus,Deli / Bodega,Seattle
20,Polar Bar,Hotel Bar,Seattle
21,Cherry Street Public House,Coffee Shop,Seattle
22,Good Bar,Cocktail Bar,Seattle
23,Flame Catering Cafe,Café,Seattle
24,Kimpton Hotel Monaco Seattle,Hotel,Seattle
25,Caffe Vita,Café,Seattle
26,Smith Tower Observation Deck,Scenic Lookout,Seattle
27,YMCA,Gym,Seattle
28,Damn the Weather,Cocktail Bar,Seattle
29,"Loews Hotel 1000, Seattle",Hotel,Seattle
